AMD 3015e,6W
AMD 3015Ce,6W
AMD 3020e,6W
7th Gen A9-9420 APU,15W
7th Gen A6-9220 APU,15W
7th Gen A4-9120 APU,15W
7th Gen A12-9730P APU,35W
7th Gen A12-9700P APU,15W
7th Gen A10-9630P APU,35W
7th Gen A10-9600P APU,15W
7th Gen A9-9410 APU,25W
7th Gen A6-9210 APU,15W
7th Gen A12-9800 APU,65W
7th Gen A10-9700 APU,65W
7th Gen A8-9600 APU,65W
7th Gen A6-9500E APU,35W
7th Gen A6-9500 APU,65W
7th Gen A12-9800E APU,35W
7th Gen A10-9700E APU,35W
7th Gen A6-9550 APU,65W
7th Gen A9-9425 APU,15W
7th Gen A6-9225 APU,15W
7th Gen A4-9125 APU,15W
A10-8700P,35W
A10-7890K,95W
A10-7870K,95W
A10-7870K,95W
A10-7860K,65W
A10-7860K,65W
A10-7850K,95W
A10-7800,45W
A10-7700K,45W
A10-7400P,35W
A10-7300,20W
A10-6800K,100W
A10-6800B,45W
A10-6790K,100W
A10-6790B,45W
A10-6700T,45W
A10-6700,65W
A10 Micro-6700T,4.5W
A8-8600P,15W
A8-7670K,95W
A8-7650K,95W
A8-7650K,95W
A8-7600,65W
A8-7410,15W
A8-7200P,100W
A8-7100,20W
A8-6600K,65W
A8-6500T,45W
A8-6500B,65W
A8-6500,65W
A8-6410,15W
A8-6410,15W
A6-7310,15W
A6-7310,15W
A6-7310,15W
A6-6310,15W
A6-6310,15W
A6-5200M,25W
A6-5200,25W
A4-7210,65W
A4-7210,65W
A4-6210,15W
A4-5100,15W
A4-5100,15W
A4-5000,15W
A4-5000,15W
A4 Micro-6400T,4.5W
6th Gen A10-8700P APU,15W
6th Gen A8-8600P APU,15W
A6-8500P,15W
A6-8500P,15W
A6-7470K,65W
A6-7400K,65W
A6-7000,17W
A6-6420K,65W
A6-6420B,65W
A6-6400K,65W
A6-6400B,65W
A6-5350M,35W
A4-7300,65W
A4-6320,65W
A4-6300,65W
7th Gen A6-9220C APU,6W
7th Gen A4-9120C APU,6W
AMD Athlon PRO 3145B,15W
AMD Athlon PRO 3045B,15W
AMD Athlon PRO 300GE,35W
AMD Athlon Gold PRO 3150GE,35W
AMD Athlon Gold PRO 3150G,65W
AMD Athlon Silver PRO 3125GE,35W
AMD Athlon PRO 300U Mobile,15W
AMD Athlon PRO 200U Mobile,15W
AMD Athlon PRO 200GE,35W
AMD Athlon Gold 3150C,15W
AMD Athlon  Silver 3050C,15W
7th Gen AMD Athlon X4 970,65W
7th Gen AMD Athlon X4 950,45W
7th Gen AMD Athlon X4 940,45W
AMD Athlon Gold 3150GE ,35W
AMD Athlon Gold 3150G ,65W
AMD Athlon Silver 3050GE ,35W
AMD Athlon 320GE,35W
AMD Athlon 300GE,35W
AMD Athlon Silver 3050e,6W
AMD Athlon Silver 3050U,15W
AMD Athlon Gold 3150U,15W
Athlon 5370 APU,25W
Athlon 5350 APU,25W
Athlon 5150 APU,25W
AMD Athlon 3000G,35W
AMD Athlon 300U,15W
AMD Athlon 240GE,35W
AMD Athlon 220GE,35W
AMD Athlon 200GE,35W
7th Gen E2-9010 APU,15W
E2-7110,65W
E2-7110,65W
E2-7110,65W
E2-6110,15W
E2-3800,15W
E2-3000,15W
E1-7010,10W
E1-7010,10W
E1-6010,10W
E1-2500,15W
E1-2200,9W
E1-2100,9W
E1 Micro-6200T,3.95W
AMD EPYC 7763,280W
AMD EPYC 7713P,225W
AMD EPYC 7713,225W
AMD EPYC 7663,240W
AMD EPYC 7643,225W
AMD EPYC 7543P,225W
AMD EPYC 7543,225W
AMD EPYC 7513,200W
AMD EPYC 75F3,280W
AMD EPYC 7453,225W
AMD EPYC 7443P,200W
AMD EPYC 7443,200W
AMD EPYC 7413,180W
AMD EPYC 74F3,240W
AMD EPYC 7343,190W
AMD EPYC 7313P,155W
AMD EPYC 7313,155W
AMD EPYC 73F3,240W
AMD EPYC 72F3,180W
AMD EPYC 7742,225W
AMD EPYC 7702P,200W
AMD EPYC 7702,200W
AMD EPYC 7662,225W
AMD EPYC 7H12,280W
AMD EPYC 7642,225W
AMD EPYC 7552,200W
AMD EPYC 7601,180W
AMD EPYC 7551P,180W
AMD EPYC 7551,180W
AMD EPYC 7542,225W
AMD EPYC 7532,200W
AMD EPYC 7502P,180W
AMD EPYC 7502,180W
AMD EPYC 7501,155W
AMD EPYC 7452,155W
AMD EPYC 7451,180W
AMD EPYC 7402P,180W
AMD EPYC 7402,180W
AMD EPYC 7401P,155W
AMD EPYC 7401,155W
AMD EPYC 7352,155W
AMD EPYC 7F72,240W
AMD EPYC 7371,200W
AMD EPYC 7351P,155W
AMD EPYC 7351,155W
AMD EPYC 7302P,155W
AMD EPYC 7302,155W
AMD EPYC 7301,155W
AMD EPYC 7282,120W
AMD EPYC 7281,155W
AMD EPYC 7F52,240W
AMD EPYC 7272,120W
